track_name,track_id,artist,date_added,release_date,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Close To You,0brBOx8ejPXvBYnQkWquYK,Dayglow,2022-04-14T22:20:25Z,2021-05-21,0,194693,0.875,0.649,6,-5.754,1,0.0433,0.429,0.00237,0.0704,0.833,140.031,4
Full Catastrophe,48GLjrWivaduGQaycy6Rj4,Summer Salt,2022-04-14T23:24:41Z,2019-07-12,33,244626,0.685,0.624,7,-5.71,1,0.0292,0.431,1.04e-05,0.156,0.55,120.014,4
Wasted,0mbe002GwbvFqXpnxBHL2j,Jukebox The Ghost,2022-04-14T23:28:59Z,2022-03-11,0,216200,0.47,0.804,9,-5.738,1,0.0808,0.103,0.00261,0.0819,0.44,172.606,3
Make You Mine,5iFwAOB2TFkPJk8sMlxP8g,PUBLIC,2022-04-16T16:20:40Z,2019-08-09,71,232906,0.606,0.799,9,-4.452,1,0.0261,0.0128,0,0.15,0.638,103.014,4
I Won't Let You Down,5v2snXqNEVtKxsJy5YBVfV,OK Go,2022-04-17T16:16:19Z,2014-10-14,0,222440,0.755,0.915,2,-3.505,1,0.105,0.0257,0,0.0351,0.7,113.986,4
Everything About You,5FkLwTiK7MFKxiaRVkUBTI,Peach Pit,2022-04-20T13:43:29Z,2022-03-04,39,198912,0.599,0.5,6,-8.226,1,0.0592,0.289,0.0215,0.159,0.169,102.23,4
Pool House,74f0dpqHhTeTJzs4pmZ1yq,The Backseat Lovers,2022-04-21T22:35:18Z,2019-01-27,69,269411,0.594,0.355,7,-11.184,1,0.0305,0.0478,0.000109,0.0559,0.327,134.097,4
Jumpstarted,6eW5CV54WFEsX0lklO3BPO,Jukebox The Ghost,2022-04-23T17:22:13Z,2018-03-30,0,262626,0.514,0.718,7,-3.37,1,0.0533,0.425,0,0.352,0.594,172.002,4
Marigolds,6jDjdfe7npTAxfwVq2HRfr,Early Eyes,2022-04-23T18:26:53Z,2020-03-17,43,221625,0.701,0.711,0,-4.193,1,0.0322,0.0504,0.0304,0.14,0.567,133.027,4
Case for You,4DbOFdHstaZ8vBDSza2Ei4,Early Eyes,2022-04-23T19:19:07Z,2018-10-12,38,183596,0.857,0.444,7,-11.414,1,0.082,0.356,0.00614,0.14,0.815,138.003,4
Mary,4AXeaFIAKgRKQ12zkQrtWa,The Happy Fits,2022-04-26T21:55:55Z,2018-06-15,0,194733,0.564,0.696,7,-3.833,1,0.0906,0.087,0,0.0715,0.604,131.048,4
Settle Down,0LACZ5yc1B7U7CIrVcJ6Fe,Ricky Montgomery,2022-04-27T15:17:14Z,2022-04-15,41,178590,0.633,0.836,3,-3.655,1,0.0498,0.00501,1.26e-06,0.189,0.464,117.989,4
Waste of Time,3MUDtxwgabfS39tclesWwV,Early Eyes,2022-04-27T16:53:19Z,2017-03-24,29,191428,0.671,0.781,7,-5.932,0,0.101,0.161,0.000573,0.149,0.961,168.144,4
Kick It to Me,6QZbDUZEgkwaVWROtWzjQ0,Sammy Rae & The Friends,2022-04-28T22:42:12Z,2018-07-10,55,387600,0.597,0.675,2,-6.431,1,0.0569,0.533,1.45e-05,0.168,0.823,160.057,4
Holding Hands,5N3cCgfD4iN09lPzhwn1t4,Early Eyes,2022-04-28T23:08:34Z,2018-10-26,20,232065,0.652,0.166,7,-13.593,1,0.0354,0.748,0.000688,0.0867,0.202,129.916,3
Last Days of Lonesome,2Z1DE9ozMwLzbogpjyJFdC,Peach Pit,2022-05-07T21:07:32Z,2022-03-04,37,225778,0.643,0.32,10,-8.017,1,0.0305,0.73,1.66e-06,0.109,0.217,117.203,4
The Antidote,0pxpSt7LXw3peLU2yfipgG,blackwave.,2022-05-08T00:52:29Z,2019-11-08,37,196053,0.988,0.531,3,-4.987,0,0.0586,0.185,0.000278,0.0893,0.775,118.535,4
The Feeling,0dmCos7GHCr5PRKp5LNGH7,Sammy Rae & The Friends,2022-05-15T20:32:37Z,2018-07-10,50,236213,0.716,0.708,5,-4.978,1,0.0712,0.523,0,0.0886,0.761,127.059,4
April Baby,2Uq8YwiAYhbG2jNzLimd7A,Summer Salt,2022-05-25T16:17:58Z,2022-04-08,20,233676,0.732,0.597,6,-5.997,1,0.0346,0.0123,0.00264,0.0654,0.727,135.997,4
The Adults Are Talking,5ruzrDWcT0vuJIOMW7gMnW,The Strokes,2022-05-27T04:42:56Z,2020-04-10,79,309053,0.593,0.749,5,-5.67,1,0.0475,0.0113,0.106,0.314,0.649,164.959,4
Fuzzybrain,57HJa4ktE7iHGrbFhwzEr2,Dayglow,2022-05-28T03:33:01Z,2019-11-14,0,219428,0.488,0.51,7,-8.367,1,0.026,0.0233,0.15,0.143,0.368,104.959,4
One Last Time - Juniper Version,3cjFMFg0xfFIJ3E2vW6Q79,Summer Salt,2022-05-30T18:46:27Z,2022-03-11,20,285594,0.487,0.45,1,-8.472,1,0.0301,0.273,0.604,0.0711,0.375,184.413,3
Hey Maude,2wfCn1CNaKl7UTpvlYZJlN,Jukebox The Ghost,2022-05-30T18:50:31Z,2022-05-27,0,230613,0.302,0.708,1,-4.658,0,0.0613,0.264,0,0.0986,0.295,164.203,4
Vietnam,2lgH3qU8PMYiCjwjKDleez,Miniature Tigers,2022-06-03T16:54:39Z,2008-03-04,0,236106,0.53,0.607,0,-7.088,1,0.039,0.399,4.05e-06,0.0738,0.384,122.151,4
Medicine,0CWvHfEwbeBVN0RViTybvL,Dayglow,2022-06-07T19:06:52Z,2021-05-21,0,229173,0.866,0.754,0,-5.531,1,0.0356,0.0364,0.00181,0.0801,0.962,115.034,4
Harvey,1zFbBrZmJr1Z49HYe84dBg,Her's,2022-06-07T23:53:20Z,2018-08-24,66,211165,0.588,0.855,9,-6.153,1,0.0372,0.0735,0.815,0.128,0.717,141.941,4
Talk It Up,7FQCZ5i5bmQ76LoGHyVcX0,Sammy Rae & The Friends,2022-06-09T19:47:16Z,2018-07-10,55,238480,0.524,0.733,7,-4.669,1,0.0938,0.593,0,0.0931,0.674,112.716,4
Especially You,4lTaOALACghmELb2QTPxn0,Wallows,2022-06-09T20:24:56Z,2022-03-25,45,181120,0.546,0.95,2,-3.386,1,0.133,0.0375,6.3e-05,0.0942,0.757,94.923,4
Marvelous,5wkEdciZkVGiasumRPReSV,Wallows,2022-06-11T15:56:11Z,2022-03-25,51,142333,0.635,0.921,9,-3.269,1,0.162,0.22,0,0.0785,0.673,124.037,4
December,4oB6hNxskthsaZB1OuxgZX,Dayglow,2022-06-14T23:08:58Z,2021-05-21,0,191746,0.756,0.517,7,-8.044,1,0.0883,0.197,0.000118,0.0767,0.423,79.997,4
Crying on the Dancefloor,76rMrk4t6Cmg2EXR7VV8xs,Dayglow,2022-06-17T17:47:34Z,2021-05-21,0,263080,0.607,0.617,9,-8.236,1,0.0257,0.00164,0.535,0.146,0.272,99.998,4
One Cup of Coffee,2or3Psh75n0eeE05RpINZS,Summer Salt,2022-06-20T01:10:53Z,2022-03-11,24,156818,0.711,0.56,0,-8.251,1,0.0837,0.348,0.0204,0.112,0.678,125.421,4
Davy Crochet,1w9B61OdLdnjzZIUYmy0bd,The Backseat Lovers,2022-06-24T01:07:41Z,2019-01-27,55,176617,0.74,0.443,0,-10.782,1,0.0369,0.164,0.00193,0.108,0.619,123.967,4
If You Know What's Right,7KO4XNfwEKhTbSGo3O6qX5,Her's,2022-06-24T22:05:17Z,2018-08-24,49,200455,0.639,0.859,4,-4.569,1,0.0302,0.00271,0.541,0.149,0.687,89.987,4
Balcony,3W0fmsdPgPisEQEfefimGT,Dayglow,2022-06-28T15:17:44Z,2021-05-21,0,151266,0.702,0.827,11,-5.588,0,0.0778,0.000381,0.568,0.0333,0.977,150.019,4
Summerland,64ch5GFGb2lq9NbjPdjkaM,half•alive,2022-07-02T00:10:59Z,2022-02-11,49,229653,0.709,0.799,2,-4.985,1,0.143,0.272,0,0.452,0.699,103.879,4
One Last Time,4qEW8QgybJTgA3bKgqVpSM,Summer Salt,2022-07-02T14:31:29Z,2019-12-24,50,217636,0.71,0.36,1,-10.925,1,0.0281,0.753,0.233,0.0894,0.433,109.997,3
Drunk on Halloween,0z9dPcBhJvqO06QMaKelUE,Wallows,2022-07-03T16:37:20Z,2018-10-12,53,237026,0.631,0.634,6,-4.456,1,0.0247,0.231,1.3e-05,0.0924,0.774,100.967,4
Fair Game,09u08pFFRhzoVuleMAgtFq,Dayglow,2022-07-05T12:46:21Z,2019-11-14,0,262500,0.772,0.7,9,-7.699,1,0.0454,0.0505,0.0515,0.147,0.942,127.99,4
Fire Escape,6uCmU6ldcsVpLAKNCojVg8,Andrew McMahon in the Wilderness,2022-07-09T17:20:39Z,2017-02-10,44,204840,0.583,0.862,4,-4.387,1,0.0575,0.0468,0,0.256,0.422,105.998,4
Ohio,44VMIYttRMiruEmIObpz7P,Andrew McMahon in the Wilderness,2022-07-09T17:39:32Z,2018-11-16,32,248613,0.398,0.68,9,-7.677,1,0.0484,0.0221,8.44e-05,0.311,0.491,172.047,4
Flesh & Bone,5a6FpH6vRxYdQeCZBcIUb7,Sammy Rae & The Friends,2022-07-14T12:57:10Z,2018-07-10,45,267677,0.632,0.534,2,-6.783,0,0.0847,0.505,0,0.077,0.825,145.807,4
Woah Man,0PGnwDPPMoJ1s49hQQXHFR,Dayglow,2022-07-18T13:08:06Z,2021-05-21,0,208586,0.497,0.675,2,-7.442,1,0.0332,0.0035,0.000367,0.219,0.338,79.965,4
Don't Look Now,3VdWvnywTfCZtOindViUHx,Jack Johnson,2022-07-18T20:53:01Z,2022-06-24,40,210402,0.733,0.608,2,-8.298,1,0.0456,0.781,0.00112,0.111,0.809,150.874,4
3AM Radio,6dY92u8XPfqETWwBHcVBhL,Jack Johnson,2022-07-18T20:53:05Z,2022-06-24,37,196034,0.833,0.554,11,-10.8,1,0.0513,0.427,0.0236,0.158,0.444,111.861,4
Costume Party,7BNHzrRTOuchUkhzxgaiHH,Jack Johnson,2022-07-18T20:55:01Z,2022-06-24,36,209517,0.813,0.476,2,-8.912,0,0.0298,0.81,8.47e-06,0.143,0.662,93.029,4
Million Dollar Bills,6wLHVHsKjQyX75ejnGk371,Jukebox The Ghost,2022-07-20T23:52:26Z,2022-05-27,0,191866,0.702,0.615,8,-6.17,1,0.0331,0.325,0,0.0751,0.712,78.966,4
Everybody Panic,0VQHPTA9qaY8I2OrcvTBOU,Jukebox The Ghost,2022-07-21T13:08:18Z,2022-05-27,0,250733,0.648,0.78,0,-7.81,1,0.0405,0.151,0.00107,0.082,0.511,157.15,4
Oh Dear,6DDrHCmUD97WmkJHzU82sd,Summer Salt,2022-07-26T12:58:00Z,2018-09-28,32,212133,0.706,0.468,6,-8.696,0,0.0269,0.373,6.72e-06,0.106,0.553,102.643,4
Whatever We Feel,4H9jGVkfJkjc6pWFfn2KSN,Sammy Rae & The Friends,2022-07-30T16:26:07Z,2020-04-03,49,208965,0.562,0.715,2,-7.852,1,0.103,0.579,0,0.75,0.744,107.426,4
Meet The Moonlight,1ejhytyP6PBpNLrrhOoRxv,Jack Johnson,2022-08-10T20:37:28Z,2022-06-24,39,305607,0.494,0.271,7,-16.096,1,0.0389,0.861,0.188,0.109,0.326,184.953,4
I Tend To Digress,5KiCQPcv7HKhGNiEGs1WYr,Jack Johnson,2022-08-10T20:48:33Z,2022-06-24,35,143417,0.736,0.306,0,-10.439,1,0.0372,0.892,0,0.113,0.487,117.975,4
Wild Heart,7pK4jm4HiNaYVzL2zbQSoG,Bleachers,2022-08-14T16:58:18Z,2014-07-14,49,200386,0.552,0.941,0,-8.256,1,0.0415,0.318,0.0655,0.33,0.526,159.594,4
Island Radio,3EALhZYEmozlfqPszpxyPM,Andrew McMahon in the Wilderness,2022-08-18T17:38:28Z,2017-02-10,24,227600,0.592,0.725,6,-4.599,1,0.0556,0.0118,0,0.109,0.461,118.055,4
